▼sharp心
←citric酸
←helicopter機
←inko夫婦
←Jesus敎
←Judea敎
←Kristos敎
←permanent머리
←permanent하다
←roast구이
Achilles腱
alkali性
aluminium箔
amino酸
ammonia水
barge船
bazar會
béret帽
boiler工
boiler室
Braun管
buffet食堂
bus票
camping하다
card놀이
Cassiopeia자리
Catholic敎
Catholic敎徒
Catholic敎會
cellophane紙
chain店
check하다
cholera菌
Christ敎
click하다
coach하다
color複寫機
comeback하다
comic하다
cream빵
début하다
design하다
dollar貨
down되다
drum桶
dry하다
enamel線
energy源
fancy店
France語
game機
gamma線
gas管
gas暖爐
gas銃
goal대
goal門
goal잡이
golf공
golf場
golf채
Gothic體
guerrilla戰
gum팔이
Hansen病
health場
Hindu敎
instant食品
intern社員
interview하다
Islam敎
jet機
jump하다
Jura紀
Kent紙
kiss하다
knock하다
KO하다
lama敎
lemon水
lemon차
light級
madame뚜
Mahomet敎
massage하다
master하다
memo紙
memo하다
meter法
micro波
Mormon敎
mug盞
Natrium燈
nichrome線
Nobel賞
olive기름
Orion자리
ozone層
paint漆
pass하다
PC房
Pegasus자리
pen글씨
pen대
Perseus자리
PET甁
pineapple科
pink色
plus하다
pool場
print하다
Pulitzer賞
record板
rhythm感
roll빵
romantic하다
Roma字
rugby공
Russia語
serve하다
service業
set場
sexy하다
shoot하다
shopping하다
shower器
shower하다
sink臺
skate場
sketch하다
ski場
soda水
sports머리
stainless鋼
team員
team長
tennis場
test하다
touch하다
Trias紀
UN軍
veneer板
veneer合板
vinyl封紙
vinyl雨傘
vinyl掌匣
X線
x軸
y軸
可
家家戶戶
加減乘除
加減하다
假建物
價格
價格表
可決
可決되다
可決하다
家系
家計
家計簿
歌曲
歌曲集
加工
加工되다
加工食品
加工業
加工乳
架空人物
加工品
加工하다
可恐하다
可觀
家具
家口
家具商
家具店
歌劇
可及的
가나다順
家內
可能
可能性
可能하다
加擔
加擔하다
可當찮다
家宅
街道
稼動
稼動되다
稼動하다
街頭
가려움症
可憐하다
可憐히
假令
街路燈
가로膜
가로線
街路樹
가로軸
가로劃
가루藥
가루牛乳
가림幕
可望
可望性
加盟
加盟店
假面
假面劇
假名
歌舞
歌舞團
家門
加味되다
加味하다
假髮
家寶
假縫
可否
家父長制
跏趺坐
假分數
假拂
假拂하다
家事
歌詞
歌辭
加算
加算金
加算點
假想
假想圖
假想하다
嘉尙하다
假想訓鍊
嘉尙히
假釋放
假設
假說
假設하다
架設하다
假聲
價性比
加勢
家勢
加勢하다
可笑롭다
加速
加速度
歌手
加濕器
可視光線
假飾
假飾的
家臣
伽倻
伽倻琴
家業
可燃性
加熱
加熱되다
加熱하다
가오리鳶
家屋
加外
歌謠
歌謠界
歌謠祭
歌謠集
가운뎃點
가위바위褓
가위標
斝彝
加入
加入國
加入되다
加入者
加入하다
佳作
假裝
家長
假裝舞蹈會
가長調
假裝하다
假裝行列
家財道具
家電製品
假定
家庭
家庭配達
家政婦
家庭生活
家庭用
家庭用品
家庭儀禮
家庭일
家庭的
家庭主婦
家庭집
假定하다
加定하다
家族
家族計劃
家族法
家族寫眞
家族愛
家族員
家族的
家族會議
가죽jumper
加重
加重되다
可憎
可憎스럽다
가지各色
가짓數
假짜
假借
歌唱力
呵責
家畜
家畜우리
家出
家出하다
價値
價値觀
假稱
可타否타
街販臺
家風
加하다
加害
加害者
加護
苛酷
苛酷性
苛酷하다
家訓
可히
各
角
各各
各界
各界各層
刻苦
脚光
各國
各其
角기둥
脚氣病
角度
角度器
角膜
角木
刻薄하다
各別하다
各別히
脚本
脚本家
角封套
各部
角뿔
各色
脚色
覺書
脚線美
角雪糖▽
却說이
覺醒
覺醒劑
覺醒하다
각시房
各樣各色
覺悟
覺悟하다
閣議
各人各色
各自
角觝冢
各種
脚註
各地
角質
角質化되다
各處
角逐
閣下
角形
肝
肝distoma
間間이
間隔
簡潔性
簡潔體
簡潔하다
奸計
懇曲하다
懇曲히
看過하다
奸巧性
奸巧하다
懇求하다
簡單明瞭하다
簡單하다
間斷하다
簡單히
懇談
肝膽
懇談會
肝덩이
間島
簡略하다
簡略히
간琉璃
干滿
簡明히
看病
看病人
看病하다
幹部
奸詐스럽다
奸邪스럽다
奸邪하다
간石器
干潟地
幹線
間選制
干涉
干涉하다
肝細胞
簡素하다
簡素化되다
簡素化하다
簡素히
간水
看守
間食
奸臣
奸臣輩
艱辛히
奸惡하다
肝癌
干與
簡易
簡易賣店
簡易食堂
簡易驛
簡易飮食店
簡易酒店
簡易寢臺
肝炎
奸雄
姦淫
簡儀
간醬
肝臟
간醬게醬
간醬독
肝臟藥
懇切하다
懇切히
間接
間接稅
間接的
間接吸煙
干潮
看做
間奏曲
看做하다
癇疾
干拓
干拓地
干拓하다
間諜
間諜船
懇請
懇請하다
揀擇
揀擇하다
姦通
姦通罪
看破
看破하다
看板
看板star
看板選手
簡便하다
簡便히
諫하다
刊行
刊行되다
刊行物
刊行하다
間歇的
間歇泉
看護
看護補助員
看護師
看護員
看護人
看護하다
看護學
間或
渴求
渴求하다
葛藤
葛藤狀態
葛藤하다
渴望
渴望하다
갈비湯
褐色
褐藻類
渴症
喝采
坎
感
感覺
感覺的
감감無消息
感慨
感慨無量하다
感激
感激性
感激스럽다
感激的
感激하다
感光紙
柑橘
監禁
監禁되다
監禁하다
感氣
感氣藥
堪耐하다
堪當
堪當하다
監督
監督官
監督하다
感動
感動的
感動하다
減量
監理敎
減免
感銘
甘味롭다
甘味料
感發
監房
感服하다
感謝
監司
監査
感謝文
感謝狀
監査院
感謝節
感謝牌
感謝하다
監査하다
感謝히
減産
感傷
感想
鑑賞
感想文
鑑賞法
感傷的
鑑賞하다
紺色
感性
感性的
減少
減少되다
減少하다
減速
監修
感受性
甘受하다
監視
監視兵
監視所
監視員
監視者
監視하다
鑑識
勘案하다
甘言利說
感染
感染되다
感染病
監營
監獄
